order_id,customer_id,campaign_id,order_date,product,quantity,unit_price_usd,gross_revenue_usd,discount_pct,net_revenue_usd,payment_method,order_status
ORD000001,CUST00817,,2024-11-29,Growth Plan,9,1985.73,17871.57,15,15190.83,PayPal,completed
ORD000002,CUST01442,CAMP0045,2024-06-11,Enterprise Plan,7,1570.95,10996.65,0,10996.65,Credit Card,completed
ORD000003,CUST00759,CAMP0070,2025-06-02,Enterprise Plan,2,1987.1,3974.2,15,3378.07,Invoice,refunded
ORD000004,CUST01412,,2024-09-03,Professional Services,6,753.85,4523.1,15,3844.64,PayPal,completed
ORD000005,CUST01147,CAMP0024,2025-09-06,Add-on: Analytics,1,1834.03,1834.03,15,1558.93,PayPal,completed
ORD000006,CUST01108,CAMP0082,2025-04-13,Enterprise Plan,8,1012.09,8096.72,10,7287.05,ACH,refunded
ORD000007,CUST00118,CAMP0026,2025-07-02,Enterprise Plan,8,124.82,998.56,5,948.63,PayPal,completed
ORD000008,CUST01198,CAMP0040,2025-09-10,Professional Services,1,1578.11,1578.11,20,1262.49,PayPal,refunded
ORD000009,CUST00407,,2025-10-16,Professional Services,8,2065.71,16525.68,15,14046.83,Invoice,completed
ORD000010,CUST00436,,2024-06-21,Professional Services,6,794.82,4768.92,0,4768.92,Invoice,completed
ORD000011,CUST00558,,2024-09-19,Growth Plan,9,2792.62,25133.58,0,25133.58,PayPal,completed
ORD000012,CUST01414,CAMP0064,2024-09-01,Growth Plan,4,2829.62,11318.48,20,9054.78,ACH,completed
ORD000013,CUST00519,CAMP0019,2025-07-05,Add-on: Analytics,8,544.06,4352.48,20,3481.98,Invoice,completed
ORD000014,CUST01392,,2024-10-06,Add-on: API,6,2235.81,13414.86,0,13414.86,ACH,completed
ORD000015,CUST01423,,2024-09-01,Pro Plan,6,2295.98,13775.88,0,13775.88,PayPal,completed
ORD000016,CUST01154,,2025-09-01,Add-on: API,7,1200.29,8402.03,0,8402.03,Credit Card,completed
ORD000017,CUST00817,CAMP0118,2024-10-23,Professional Services,2,657.4,1314.8,5,1249.06,PayPal,completed
ORD000018,CUST00603,CAMP0027,2024-07-27,Growth Plan,1,2538.6,2538.6,15,2157.81,Invoice,completed
ORD000019,CUST01336,CAMP0119,2024-08-24,Growth Plan,5,1334.94,6674.7,0,6674.7,ACH,completed
ORD000020,CUST00128,CAMP0024,2024-05-23,Add-on: Analytics,10,1840.61,18406.1,0,18406.1,Invoice,completed
ORD000021,CUST01026,,2026-01-05,Add-on: API,7,536.51,3755.57,0,3755.57,ACH,completed
ORD000022,CUST00318,,2025-10-20,Pro Plan,5,2050.21,10251.05,10,9225.94,PayPal,completed
ORD000023,CUST00496,CAMP0052,2025-12-04,Starter Plan,4,1902.11,7608.44,0,7608.44,ACH,completed
ORD000024,CUST01218,CAMP0075,2025-11-15,Add-on: Analytics,10,2088.4,20884.0,0,20884.0,ACH,completed
ORD000025,CUST00780,,2025-04-30,Professional Services,10,340.51,3405.1,0,3405.1,Invoice,refunded
ORD000026,CUST01201,,2024-10-27,Professional Services,2,1735.49,3470.98,15,2950.33,Credit Card,refunded
ORD000027,CUST00010,CAMP0026,2025-01-23,Pro Plan,3,1870.96,5612.88,10,5051.59,Invoice,completed
