session_id,customer_id,session_date,traffic_source,device,country,landing_page,pages_viewed,session_duration_sec,is_bounce,is_converted
SESS0000001,,2024-10-14,paid_social,mobile,DE,/contact,14,284,False,True
SESS0000002,CUST00041,2025-06-16,organic,mobile,UK,/features,10,1484,False,False
SESS0000003,CUST00834,2025-05-05,paid_social,mobile,UK,/blog,14,135,False,False
SESS0000004,,2024-12-03,direct,mobile,UK,/demo,11,292,False,False
SESS0000005,CUST00516,2025-11-13,email,mobile,FR,/demo,2,1592,False,False
SESS0000006,CUST01197,2025-07-27,referral,desktop,FR,/blog,4,646,False,False
SESS0000007,,2025-07-29,paid_social,desktop,CA,/case-studies,10,363,False,False
SESS0000008,CUST00232,2026-03-11,paid_social,mobile,SE,/contact,4,1097,False,False
SESS0000009,CUST00744,2024-10-22,email,mobile,CA,/home,11,1611,False,False
SESS0000010,,2026-01-30,referral,mobile,US,/contact,15,1245,False,False
SESS0000011,,2024-05-29,email,desktop,AU,/case-studies,11,495,False,False
SESS0000012,,2024-11-29,email,desktop,NL,/features,5,1780,False,False
SESS0000013,CUST00610,2025-01-08,paid_search,mobile,DE,/blog,11,1689,False,False
SESS0000014,CUST00833,2024-06-18,organic,desktop,UK,/case-studies,13,1668,False,False
SESS0000015,CUST00682,2025-08-14,referral,desktop,UK,/case-studies,3,969,False,False
SESS0000016,,2025-06-19,email,mobile,AU,/blog,12,1041,False,True
SESS0000017,CUST00377,2025-04-12,referral,desktop,DE,/home,7,111,False,False
SESS0000018,CUST00169,2024-11-04,organic,desktop,DE,/case-studies,10,630,False,False
SESS0000019,CUST00925,2024-05-30,email,mobile,DE,/features,3,1628,False,False
SESS0000020,CUST00578,2026-03-06,paid_search,desktop,AU,/pricing,7,1698,False,False
SESS0000021,CUST00460,2026-03-03,organic,tablet,FR,/home,8,1714,False,False
SESS0000022,CUST00102,2025-12-13,email,mobile,CA,/pricing,2,1441,False,False
SESS0000023,CUST00241,2026-02-21,organic,mobile,NL,/case-studies,15,353,False,False
SESS0000024,CUST00243,2025-07-13,paid_search,mobile,FR,/case-studies,14,1699,False,False
SESS0000025,CUST00783,2025-05-21,paid_search,desktop,FR,/demo,4,594,False,False
SESS0000026,CUST00388,2026-02-21,email,desktop,DE,/home,5,584,False,False
SESS0000027,CUST00509,2025-10-29,paid_social,mobile,SE,/home,1,487,False,False
SESS0000028,CUST01420,2025-07-26,email,mobile,NL,/contact,7,1789,False,False
SESS0000029,,2025-04-23,direct,desktop,AU,/pricing,8,529,False,False
SESS0000030,CUST01226,2024-09-29,referral,mobile,US,/home,5,1246,False,False
SESS0000031,CUST00809,2026-01-19,referral,desktop,US,/demo,3,785,False,False
SESS0000032,CUST00695,2025-10-13,email,desktop,AU,/contact,9,1036,False,False
SESS0000033,,2025-12-22,organic,tablet,SE,/case-studies,14,538,False,False
SESS0000034,CUST00580,2025-12-16,paid_social,mobile,CA,/demo,6,743,False,False
SESS0000035,CUST01007,2025-03-28,paid_search,mobile,SE,/home,4,342,False,False
SESS0000036,,2024-06-07,email,desktop,SE,/blog,2,475,False,False
SESS0000037,,2025-10-31,paid_social,tablet,SE,/blog,8,1018,False,False
SESS0000038,CUST00254,2024-07-08,paid_social,desktop,CA,/pricing,14,1479,False,False
SESS0000039,CUST01154,2026-03-29,referral,mobile,US,/demo,13,1046,False,False
SESS0000040,CUST00505,2024-09-18,email,mobile,AU,/home,5,857,False,False
SESS0000041,,2024-10-06,paid_social,mobile,UK,/case-studies,6,1398,False,False
SESS0000042,CUST01450,2024-07-10,referral,mobile,CA,/demo,11,171,False,True
SESS0000043,CUST00928,2025-09-24,paid_social,tablet,DE,/pricing,14,94,False,True
SESS0000044,,2025-06-27,organic,mobile,NL,/home,7,1323,False,False
SESS0000045,CUST00817,2025-06-10,organic,desktop,FR,/pricing,7,496,False,False
SESS0000046,CUST01340,2025-12-22,paid_search,desktop,SE,/case-studies,7,588,False,False
